Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Start a conversation on the right 🎶 by replying to a Tweet.   Watch more #TwitterTips: https://t.co/JMBg3mMb7k https://t.co/txkQaD1o69	LER	has_video	99.00	89.42	7.84	25.77	12.00	20.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
Onstage and off  see how Hamilton's @Lin_Manuel is Broadway's Twitter genius: https://t.co/5NVScrM0FH 🎭 https://t.co/E44TiUKoq2	LER	has_photo	70.30	66.81	1.00	25.77	23.00	26.09	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	13.04	0.00	0.00	0.00	0.00	0.00
There's no need to worry about scratching the 💿 with these 10 tracks. #FlashBackFriday https://t.co/KnYaMLeLH5	LER	has_no_media	85.72	28.91	1.00	1.00	9.00	16.67	0.00	5.56	5.56	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00
Grab your 🍿  @USATODAY is sharing the most-Tweeted summer movies. What are you waiting to see? https://t.co/C1omARyV3z	LER	has_no_media	67.14	99.00	2.82	95.81	7.00	23.81	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	4.76	0.00	4.76	9.52	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	4.76	0.00
Blue water  rocky coast – California dreamin'. #TravelTuesday https://t.co/UIYeA6xzOl	LER	has_no_media	92.84	50.00	1.00	25.77	6.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
You'll want the volume up for this #SummertimeSoundtrack. Tweets with @Spotify tracks now play in your timeline! 🎧 https://t.co/93avzwiQbs	LER	has_no_media	92.84	98.80	31.94	94.75	7.33	18.18	4.55	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	4.55	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	4.55
Get lifted with week's @Vine #SongCollab featuring @HumblePimp 🎤  https://t.co/Ov58ihoiI0 https://t.co/bFkUltAbXW	LER	has_video	96.85	50.00	1.00	25.77	18.00	27.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	5.56	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
What's it like to stay fit in zero gravity? @StationCDRKelly answered this and more in a Q&amp;A about his #YearInSpace. https://t.co/t3lM57SGVW	LER	has_no_media	92.84	64.46	15.12	25.77	9.00	18.52	0.00	0.00	0.00	0.00	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	0.00	0.00	0.00	3.70	0.00
We can't wait to cheer you on at the #Rio2016 Olympic Games  @swissbeatz! #RoadToRio https://t.co/MTZ0Tb1qJm	LER	has_no_media	96.69	94.27	81.22	97.58	9.50	26.32	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	10.53	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	5.26
Boom shakalaka! 🏀 🔥 Follow the @warriors  @okcthunder  @Raptors  and @cavs to the @NBA Finals. #FollowFriday https://t.co/ygxzcYtDOL	LER	has_video	98.60	50.00	1.00	25.77	6.33	31.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	5.26
Ever shown up to work wearing the same thing as your coworker?  We want to see your #Twinning photos.  https://t.co/DGcp1KsInB	LER	has_no_media	87.83	99.00	1.00	25.77	8.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	4.17	0.00	8.33	0.00	0.00	4.17	4.17	4.17	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00
.@DaveinOsaka moved to Osaka and is exploring his city  one broadcast at a time #TravelTuesday https://t.co/eCZODfT2as	LER	has_no_media	92.84	69.14	74.76	25.77	20.00	25.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
Hey  @HomerJSimpson! Who's your favorite person to follow on Twitter? #HomerLive	LER	has_no_media	92.84	99.00	31.94	99.00	3.67	36.36	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	9.09	9.09
Fall into the #TrustFallChallenge — who would you trust to catch you? https://t.co/D1WiCuG3ub	LER	has_no_media	84.57	99.00	7.84	99.00	8.00	12.50	6.25	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	6.25	0.00	0.00	0.00	6.25	0.00
Our heart gallops for your Tweet-powered #KentuckyDerby brooch  @JohnnyGWeir. #WatchMeNeighNeigh https://t.co/WR8THJO5VB	LER	has_no_media	84.57	99.00	1.00	25.77	8.00	37.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
New to Twitter? Check out @WIRED's guide for helpful #TwitterTips. 👇 https://t.co/LjD8qtYURj	LER	has_no_media	99.00	90.87	10.08	99.00	5.00	26.67	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.33	0.00	0.00	0.00	0.00	0.00	13.33	0.00	0.00	0.00	6.67	0.00
That's easy  @hallithbates. Lazy coffee river for breakfast  salsa surfing for lunch  and then a sensible dinner. https://t.co/B4zavcaE0O	LER	has_no_media	87.28	50.00	2.40	25.77	7.33	22.73	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Tried the Connect tab yet? Tap  find and follow the best accounts just for you. 👇 https://t.co/kdyf21MfQ8	LER	has_animated_gif	86.59	84.14	15.86	96.76	6.67	15.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	5.00	5.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00
Mixed just for you  tune in to the best of Twitter with Highlights on Android. #TwitterTips https://t.co/mHRoYWaY6f	LER	has_video	99.00	92.33	13.15	95.81	10.50	23.81	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	4.76	4.76	4.76	4.76	0.00	0.00	9.52	0.00	0.00	0.00	0.00	0.00
Catch up on the tech-inspired  show-stopping looks at last night's #MetGala. https://t.co/uUrfFBIavi	LER	has_no_media	99.00	50.00	99.00	98.27	9.00	22.22	5.56	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	5.56	0.00	5.56	0.00	5.56	0.00	0.00	0.00	0.00	0.00
Find the best people to follow. With the new Connect tab  there's no place like home: https://t.co/gWTtAmgizw https://t.co/mu8pXlKPF0	LER	has_animated_gif	97.77	50.00	17.46	89.84	13.00	11.54	3.85	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	3.85	3.85	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
Thanks for sharing your #BecauseOfTwitter stories! 💙 https://t.co/nQ1C1JD24k	LER	has_no_media	92.84	99.00	1.00	99.00	5.50	36.36	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	9.09
Pucker up 💋 https://t.co/B8rU9ISwjE	LER	has_no_media	99.00	50.00	13.15	25.77	7.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00
The best stories on Twitter  all at your fingertips with Moments. #TwitterTips  ⚡️ Go now: https://t.co/pqTAFZTMpx https://t.co/HEwgD2KDKV	LER	has_video	98.02	95.20	48.89	92.40	12.00	29.17	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	4.17	4.17	4.17	4.17	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
Science says your dog hates hugs  but what do you say? 🐶   https://t.co/d6nlx29dsv	LER	has_no_media	22.13	99.00	1.00	25.77	8.00	12.50	6.25	6.25	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	12.50	0.00	6.25	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	6.25	0.00
We'll watch clouds from space with @astro_timpeake any day. ☁️  https://t.co/lkAjDome4h	LER	has_no_media	92.84	90.87	10.08	25.77	7.50	13.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	6.67	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00
🇮🇩 Join @TwitterID in welcoming three iconic Indonesian landmarks to Twitter! https://t.co/vm9DmlwExd	LER	has_no_media	99.00	90.87	1.00	99.00	7.50	40.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	13.33	0.00	0.00	0.00	0.00	6.67
More like hang 💯 https://t.co/1k6sAC1BoR	LER	has_no_media	98.46	50.00	3.37	25.77	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
17K Tweets  600 days  one classic story. ¡Gracias @dbuendiab for sharing Don Quixote on Twitter!  #Cervantes400 🇪🇸 https://t.co/wTY1nATGLg	LER	has_no_media	98.33	97.14	2.82	99.00	7.00	38.10	9.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	0.00	9.52
What's your favorite new addition to the @MerriamWebster dictionary? 📖  https://t.co/D7oD92LIs7	LER	has_no_media	83.00	92.33	1.06	99.00	7.00	35.71	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	7.14	0.00
Your fans sure are #OBSESSED  @DanAndShay — thanks for the video! https://t.co/VUteahPdTu	LER	has_no_media	92.84	90.87	1.00	99.00	7.50	20.00	13.33	6.67	6.67	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	6.67
Share your front-row view and see life in real time with video on Twitter. #TwitterTips  👀  today's best on @video. https://t.co/0jUt77j4aJ	LER	has_video	97.65	93.07	58.07	99.00	9.00	7.41	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.81	0.00	0.00	7.41	3.70	3.70	3.70	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00
Celebrate National Park Week and #FindYourPark with Tweets from participating US parks: https://t.co/mNwR4CmhqE https://t.co/cKCIWaO6cO	LER	has_photo	92.84	98.80	2.40	25.77	22.00	27.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.64	4.55	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00
Why did #InkyTheOctopus leave his tank at the aquarium? 🐙  https://t.co/xdHLZskax3	LER	has_no_media	83.00	76.25	1.06	25.77	7.00	21.43	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	7.14	0.00
From helpful to hilarious  explore the automated world of Twitter bots 🤖  https://t.co/ldPZPSHvw5	LER	has_no_media	99.00	89.42	35.37	99.00	16.00	37.50	12.50	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
Group Direct Messages keep those who need to know  in the know.   Party with #TwitterTips 🎉 https://t.co/JMBg3mMb7k https://t.co/wF6bJhm9yM	LER	has_video	97.89	94.50	6.70	91.14	12.50	16.00	4.00	0.00	0.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00
For #TravelTuesday 🏔 views and 🐬 visits  coast to Kaikoura  New Zealand. https://t.co/cEtNchNmzF	LER	has_no_media	97.34	74.76	10.08	25.77	7.50	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00
Hear that? Turn up the volume for @Stereogum's favorite new music  powered by @SoundCloud 🎧 https://t.co/JVtZHMyZ4A	LER	has_no_media	99.00	70.08	19.27	97.58	9.50	26.32	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.79	0.00	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00
Get Hangouts for Android → https://t.co/M3e3chjAHs or iOS → https://t.co/EtBOnTamjB for free calling to Turkey https://t.co/sZSyTFUBnh	LER	has_no_media	97.77	64.99	1.00	89.84	26.00	23.08	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	3.85	0.00	0.00	0.00	3.85	0.00	0.00	3.85	0.00	0.00	11.54	0.00	0.00	0.00	0.00	0.00
Secretary of State @JohnKerry got the best seat at #GES2016 yesterday. https://t.co/JvJKr6qo4R	LER	has_no_media	99.00	50.00	7.84	99.00	8.00	31.25	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	6.25	12.50	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
#LoveLetters help raise awareness about mass incarceration this Father’s Day → https://t.co/n1nViMV0Pb https://t.co/QLsjstDOCG	LER	has_video	86.59	84.14	15.86	25.77	20.00	30.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	5.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
Dear Grandma    No thanks necessary. 😊  Sincerely   Google  https://t.co/vedrVek8nb	HER	has_no_media	80.75	79.76	1.00	99.00	6.00	33.33	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
Our hearts are with the Orlando victims  their families and the LGBT community. #LoveIsLove https://t.co/vMPzfWa6Y7	HER	has_photo	86.18	99.00	1.00	1.00	9.50	31.58	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.79	0.00	5.26	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
From art cars to light shows  explore #io16 After Hours in 360° on @YouTube → https://t.co/jNui3ej3SK	LER	has_no_media	99.00	50.00	96.09	25.77	19.00	15.79	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	10.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
We joined @JeffKoons' Gazing Ball tour just in time for a #KoonsxGoogle surprise tomorrow. https://t.co/9AEWQKNCBD https://t.co/cdzMMXWolw	LER	has_photo	96.08	79.76	7.84	92.40	12.00	25.00	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
.@SusanWojcicki takes the stage at #Brandcast to talk about what sets @YouTube apart. https://t.co/nDF310RTbS	LER	has_animated_gif	98.75	50.00	23.51	25.77	9.00	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00
We are gathered here today  To get through this thing called life.  https://t.co/HthUrlGVeV https://t.co/xT8oKjpDZc	HER	has_animated_gif	68.79	96.52	1.00	25.77	11.00	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	4.55	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00
Arches  you rock. #NationalParkWeek https://t.co/dNNpnJeBZL https://t.co/mDitFAoCAl	LER	has_photo	83.00	92.33	1.00	25.77	7.00	21.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00
Meet the @Zagat-renowned chefs cooking up global fare at the #GoogleTranslate popup in NYC. https://t.co/bdSpuwMiDk https://t.co/IOp1tliyFI	LER	has_photo	99.00	65.56	20.24	25.77	12.50	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	4.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00
Fall-Winter 2016/17 #ChanelHauteCouture show. View the full video on https://t.co/9YwkYjms9D #ChanelAteliers #pfw https://t.co/MSVFM36IRZ	HER	has_video	98.02	50.00	23.51	25.77	12.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
Finale from the Fall-Winter #ChanelHauteCouture show. #ChanelAteliers #pfw See more on https://t.co/bRUbd3cfh2 https://t.co/MD0zE03TKb	HER	has_photo	99.00	50.00	31.94	25.77	11.00	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00
Les Blés de CHANEL  a new High Jewelry Collection inspired by wheat  a symbol of luck. #BlesVendome #LesBlesdeChanel https://t.co/xH6vAoYL9l	HER	has_photo	99.00	50.00	9.25	99.00	11.50	26.09	8.70	0.00	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00
The Rose of all Roses. Introducing Lily-Rose Depp as the new face of N°5 L'EAU  the new N°5. #newchanel5 https://t.co/Z6PJK0LC3u	HER	has_photo	99.00	50.00	1.06	25.77	9.33	10.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.00	0.00	0.00
Kristen Stewart at the 2016 Cannes Festival #ChanelCannes2016 https://t.co/D1XdJAf0mE	HER	has_video	99.00	50.00	1.40	99.00	13.00	38.46	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
Kristen Stewart at the 2016 #CannesFilmFestival  with two films showing "Personal Shopper" and "Café Society." https://t.co/NQiomJKzhm	HER	has_photo	98.46	84.14	1.00	25.77	10.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
Havana Cars  the Cruise 2016/17 collection pattern. #ChanelCruiseCuba #CocoCuba https://t.co/vOE4BspC9o	HER	has_photo	97.34	50.00	1.00	25.77	7.50	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00
First look of the Cruise 2016/17 show in Cuba. See the full film on https://t.co/aFO8s43UlB #ChanelCruiseCuba https://t.co/9OQiGyO3DF	HER	has_video	99.00	50.00	33.94	25.77	13.50	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	3.70	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00
Finale of the Cruise 2016/17 show at the Paseo del Prado  Havana. #ChanelCruiseCuba #CocoCuba https://t.co/rjC9DeXyMj	HER	has_photo	99.00	50.00	15.86	25.77	10.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
Cuba welcomes Karl Lagerfeld’s Photo Exhibition at #FactoriaHabana #ChanelCruiseCuba More on https://t.co/k1YaHm4XFR https://t.co/YBFkLjQnvv	HER	has_photo	98.33	68.29	2.82	95.81	21.00	33.33	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	0.00	0.00
Strawberries meet lemonade shaved ice and limeade in an icy-cool summer love triangle. Available after 3PM. #Granita https://t.co/095DUyLzs3	HER	has_photo	98.02	79.76	7.84	99.00	8.00	29.17	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	4.17	8.33	0.00	0.00	0.00	0.00	0.00	4.17	4.17	0.00	0.00	0.00	0.00
You invented a rainbow. You inspired our heart. 💗💛💚💙💜 #RainbowDrinks https://t.co/LIWgorebXh	HER	has_photo	67.14	99.00	1.06	99.00	4.67	35.71	7.14	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00
