HER (-5.0275080099861178, 'ibm')
LER (4.0214863357372419, 'twitter')
LER (3.3649702588791315, 'nins2013')
LER (3.3360879172513478, 'hmlife')
LER (3.1815474736020692, 'tweets')
LER (2.9156319187928967, 'nestle')
LER (2.7274475055680556, 'galaxy11')
LER (2.6347732702019964, 'galaxynoteii')
LER (2.5897462692493693, 'galaxysiii')
LER (2.4103326779000134, 'galaxynote')
LER (2.3032172335506647, 'ff')
LER (2.2757483980680231, 'gucci')
LER (2.2297001070090956, 'virgin')
LER (2.1892285032624086, 'svoicespeaks')
LER (2.1751920491979342, 'galaxys5')
LER (2.1721288778193792, 'geekgag')
LER (2.1502129587106142, 'amazon')
LER (2.1436639193080818, 'traveltuesday')
LER (2.1355780122483439, 'thelittleblackjacket')
LER (2.1071710310962426, 'gifts')
LER (2.0566139726543073, 'naw2016')
LER (2.050739587563696, 'ces2016')
LER (2.0408810427515993, 'guccibamboo')
LER (2.0107836063501603, 'wef2014')
LER (1.9756359235762129, 'fashion')
LER (1.9681463119443354, 'needmorenescaf')
LER (1.9667917818285772, 'dinner')
LER (1.938812843185139, 'galaxykzoom')
LER (1.9263494363773264, 'icreatedthis')
LER (1.9124715595502795, 'ebay')
LER (1.9001583503795847, 'deals')
LER (1.8998555432547228, '2012')
LER (1.8857018648041097, 'sale')
LER (1.8842794949665136, 'gears2')
LER (1.8837891374745244, 'school')
LER (1.877903746980724, 'british')
LER (1.8731071621997823, 'makerfaire')
LER (1.8671268814342772, 'oraclecustomers')
LER (1.8558073351242774, 'tips')
LER (1.8516320775337511, 'lv')
LER (1.8387583938973184, 'collection')
LER (1.8207777266055769, 'video')
LER (1.7974253986162785, 'journey')
LER (1.7973204475968378, 'downtime')
LER (1.7951149709280108, 'tools')
LER (1.777834341846404, 'water')
LER (1.7742308039706074, 'forthefirsttime')
LER (1.773684757439687, 'expertmode')
LER (1.7670385486580011, 'periscope')
LER (1.7542076603108501, 'accounts')
LER (1.7495535647437832, 'amble')
LER (1.7373241320102786, 'musicmonday')
LER (1.7335217227358799, 'fillintheblanks')
LER (1.7232889359091543, 'galaxytabs')
LER (1.7175973785470342, 'companionstories')
LER (1.7080949686618516, 'vintage')
LER (1.6985102646530261, 'question')
LER (1.6726628027742232, 'chaneltribeca')
LER (1.6721023469977638, '2013')
LER (1.6693758121549558, 'deal')
LER (1.6481447883649174, 'week')
LER (1.6372101413906404, 'hr')
LER (1.6352755123352205, 'cloudworld')
LER (1.6321112855625253, 'failure')
LER (1.626444039120897, 'gearup')
LER (1.6145479095753237, 'csvforum')
LER (1.609111879145237, 'social')
LER (1.6082977740642403, 'project')
LER (1.6043192128094568, 'ativ')
LER (1.6037825090710103, 'movie')
LER (1.6023557670204591, 'galaxynote4')
LER (1.5979272347554545, 'galaxynotepro')
LER (1.5930156661929959, 'live periscope')
LER (1.5921603442706238, 'iem')
LER (1.5889055466066622, 'tickets')
LER (1.5846912102422355, 'sxsw')
LER (1.5838624429548709, '100solutions')
LER (1.5816816692888815, 'tweet')
LER (1.5806354441173602, 'note')
LER (1.5765140135687088, 'samsung')
LER (1.57627431507309, 'cup')
LER (1.5756899817381682, 'guess')
LER (1.5753539646368233, 'twitterhq')
LER (1.5712572713008703, 'discover')
LER (1.5698001145477778, 'lvtravel')
LER (1.5496066734195879, 'stunning')
LER (1.5489501448778233, 'uk')
LER (1.5420377092993287, 'smart')
LER (1.5413007678670501, 'sport')
LER (1.5411534252203036, 'costume')
LER (1.5403990028757557, 'phone')
LER (1.5305811636650772, 'discussion')
LER (1.5296136531652085, 'foechat')
LER (1.525554631505629, 'shopasong')
LER (1.5222179430859681, 'lvkusama')
LER (1.5157303730718661, 'csco')
LER (1.5138746472135844, 'shipping')
LER (1.5065044732018138, 'read')
LER (1.4989762849727684, 'sms')
LER (1.49385629472926, 'hmisabelmarant')
LER (1.4928768341175427, 'employment4youth')
